ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
70,"Clarke, S","Abandonment, Rubbish Disposal and ‘Special’ Deposits at Newstead",Theoretical Roman Archaeology Conference Proceedings,1997,pp.73-81,6,proc,1,FALSE,"Clarke, S., 1997. Abandonment, Rubbish Disposal and ‘Special’ Deposits at Newstead. Theoretical Roman Archaeology Journal, (1996), pp.73–81. DOI: http://doi.org/10.16995/TRAC1996_73_81",Unknown,Unknown,Unknown,Britain,structured-deposition ritual space,military pits,
71,"Richardson, J","Economy and Ritual: The Use of Animal Bone in
the Interpretation of the Iron Age to Roman Cultural
Transition",Theoretical Roman Archaeology Conference Proceedings,1997,pp.82-90,6,proc,1,FALSE,"Richardson, J.E., 1997. Economy and Ritual: The Use of Animal bone in the Interpretation of the Iron Age to Roman Cultural Transition. Theoretical Roman Archaeology Journal, (1996), pp.82–90. DOI: http://doi.org/10.16995/TRAC1996_82_90",University of Sheffield,England,University,France,economy ritual romanization,transition diet,zooarchaeology
72,"Isserlin, R",Thinking the Unthinkable: Human Sacrifice in Roman Britain?,Theoretical Roman Archaeology Conference Proceedings,1997,pp.91-100,6,proc,1,FALSE,"Isserlin, R.M.J., 1997. Thinking the Unthinkable: Human Sacrifice in Roman Britain?. Theoretical Roman Archaeology Journal, (1996), pp.91–100. DOI: http://doi.org/10.16995/TRAC1996_91_100",Unknown,Unknown,Unknown,Britain,ritual sacrifice,burial,
73,"Petts, D",Elite Settlements in the Roman and Sub-Roman Period,Theoretical Roman Archaeology Conference Proceedings,1997,pp.101-112,6,proc,1,FALSE,"Petts, D., 1997. Elite Settlements in the Roman and Sub-Roman Period . Theoretical Roman Archaeology Journal, (1996), pp.101–112. DOI: http://doi.org/10.16995/TRAC1996_101_112",Durham University,England,University,Britain,decline power production,settlement post-Roman,
74,"Blake, E",Negotiating Nuraghi: Settlement and the Construction of Ethnicity in Roman Sardinia,Theoretical Roman Archaeology Conference Proceedings,1997,pp.113-119,6,proc,1,FALSE,"Blake, E., 1997. Negotiating Nuraghi: Settlement and the Construction of Ethnicity in Roman Sardinia. Theoretical Roman Archaeology Journal, (1996), pp.113–119. DOI: http://doi.org/10.16995/TRAC1996_113_119",University of Arizona,USA,University,Italy,ethnicity,settlement,
75,"Matthews, K",Immaterial Culture: Invisible Peasants and Consumer Subcultures in North-West Britannia,Theoretical Roman Archaeology Conference Proceedings,1997,pp.120-132,6,proc,1,FALSE,"Matthews, K.J., 1997. Immaterial Culture: Invisible Peasants and Consumer Subcultures in North-West Britannia. Theoretical Roman Archaeology Journal, (1996), pp.120–132. DOI: http://doi.org/10.16995/TRAC1996_120_132",North Hertfordshire District Council’s Museums Service,England,Regional museum,Britain,society consumption,material-culture,
76,"White, R van Leuson, P",Aspects of Romanization in the Wroxeter Hinterland,Theoretical Roman Archaeology Conference Proceedings,1997,pp.133-143,6,proc,2,TRUE,"White, R.H. and van Leusen, P.M., 1997. Aspects of Romanization in the Wroxeter Hinterland. Theoretical Roman Archaeology Journal, (1996), pp.133–143. DOI: http://doi.org/10.16995/TRAC1996_133_143",University of Birmingham,England,University,Britain,romanization landscape,settlement,gis
77,"Ellis, S",Pooling Resources – The Use of Water for Social Control in the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1997,pp.144-150,6,proc,1,FALSE,"Ellis, S., 1997. Pooling Resources – The Use of Water for Social Control in the Roman Empire. Theoretical Roman Archaeology Journal, (1996), pp.144–150. DOI: http://doi.org/10.16995/TRAC1996_144_150",UNESCO,France,International organisation,,society power technology,water,
78,"Grahame, M",Towards a Theory of Roman Urbanism: Beyond Economics and Ideal-Types,Theoretical Roman Archaeology Conference Proceedings,1997,pp.151-162,6,proc,1,FALSE,"Grahame, M., 1997. Towards a Theory of Roman Urbanism: Beyond Economics and Ideal-Types . Theoretical Roman Archaeology Journal, (1996), pp.151–162. DOI: http://doi.org/10.16995/TRAC1996_151_162",Independent Researcher,Unknown,Independent,Italy,urbanism society space,,urban-planning
79,"Clarke, S Robinson, D","""Roman"" Urban form and Cultural Difference",Theoretical Roman Archaeology Conference Proceedings,1997,pp.163-172,6,proc,2,TRUE,"Clarke, S. and Robinson, D.J., 1997. “Roman” Urban Form and Culture Difference. Theoretical Roman Archaeology Journal, (1996), pp.163–172. DOI: http://doi.org/10.16995/TRAC1996_163_172",Unknown,Unknown,Unknown,Britain Italy,urbanism society space,architecture,
80,"Forcey, C. Hawthorne, J Witcher, R",Preface,Theoretical Roman Archaeology Conference Proceedings,1998,pp.i–iv,7,proc,3,TRUE,"Forcey, C., Hawthorne, J. and Witcher, R., 1998. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (1997), p.i–iv. DOI: http://doi.org/10.16995/TRAC1997_i_iv",University of Nottingham,England,University,,,preface,
81,"Grahame, M",Redefining Romanization: Material Culture and the Question of Social Continuity in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1998,pp.1-10,7,proc,1,FALSE,"Grahame, M., 1998. Redefining Romanization: Material Culture and the Question of Social Continuity in Roman Britain. Theoretical Roman Archaeology Journal, (1997), pp.1–10. DOI: http://doi.org/10.16995/TRAC1997_1_10",University of Southampton,England,University,Britain,romanization society identity,material-culture,
82,"Häussler, R",Motivation and Ideologies of Romanization,Theoretical Roman Archaeology Conference Proceedings,1998,pp.11-19,7,proc,1,FALSE,"Häussler, R., 1998. Motivation and Ideologies of Romanization. Theoretical Roman Archaeology Journal, (1997), pp.11–19. DOI: http://doi.org/10.16995/TRAC1997_11_19",University College London,England,University,Italy,romanization,transition,
83,"Terrenato, N",The Romanization of Italy: Global Acculturation or Cultural Bricolage?,Theoretical Roman Archaeology Conference Proceedings,1998,pp.20-27,7,proc,1,FALSE,"Terrenato, N., 1998. The Romanization of Italy: Global Acculturation or Cultural Bricolage? . Theoretical Roman Archaeology Journal, (1997), pp.20–27. DOI: http://doi.org/10.16995/TRAC1997_20_27",Durham University,England,University,Italy,romanization culture,,
84,"Clarke, S",Social Change and Architectural Diversity in Roman Period Britain,Theoretical Roman Archaeology Conference Proceedings,1998,pp.28-41,7,proc,1,FALSE,"Clarke, S., 1998. Social Change and Architectural Diversity in Roman Period Britain. Theoretical Roman Archaeology Journal, (1997), pp.28–41. DOI: http://doi.org/10.16995/TRAC1997_28_41",University of Bradford,England,University,Britain,change society,architecture villa,
85,"Condron, F","Ritual, Space and Politics: Reflections in the Archaeological Record of Social Developments in Lepcis Magna, Tripolitania",Theoretical Roman Archaeology Conference Proceedings,1998,pp.42-52,7,proc,1,FALSE,"Condron, F., 1998. Ritual, Space and Politics: Reflections in the Archaeological Record of Social Developments in Lepcis Magna, Tripolitania . Theoretical Roman Archaeology Journal, (1997), pp.42–52. DOI: http://doi.org/10.16995/TRAC1997_42_52",University of York,England,University,Libya,ritual space political,monument,epigraphy
86,"Peterson, J",Theoretical Influences on Two Reports of Romano-British Land Division,Theoretical Roman Archaeology Conference Proceedings,1998,pp.53-59,7,proc,1,FALSE,"Peterson, J.W.M., 1998. Theoretical Influences on Two Reports of Romano-British Land Division. Theoretical Roman Archaeology Journal, (1997), pp.53–59. DOI: http://doi.org/10.16995/TRAC1997_53_59",University of East Anglia,England,University,Britain,landscape,agriculture,
87,"Rush, P",Roman Roads: Phenomenological Perspectives on Roads in the Landscape,Theoretical Roman Archaeology Conference Proceedings,1998,pp.60-70,7,proc,1,FALSE,"Witcher, R., 1998. Roman Roads: Phenomenological Perspectives on Roads in the Landscape. Theoretical Roman Archaeology Journal, (1997), pp.60–70. DOI: http://doi.org/10.16995/TRAC1997_60_70",University of Leicester,England,University,Italy Britain,landscape phenomenology,roads,
88,"Williams, H",The Ancient Monument in Romano-British Ritual Practices,Theoretical Roman Archaeology Conference Proceedings,1998,pp.71-86,7,proc,1,FALSE,"Williams, H.M.R., 1998. The Ancient Monument in Romano-British Ritual Practices. Theoretical Roman Archaeology Journal, (1997), pp.71–86. DOI: http://doi.org/10.16995/TRAC1997_71_86",University of Reading,England,University,Britain,ritual practice,monument prehistory burial,
89,"Forcey, C",Whatever Happened to the Heroes? Ancestral Cults and the Enigma of Romano-Celtic Temples,Theoretical Roman Archaeology Conference Proceedings,1998,pp.87-98,7,proc,1,FALSE,"Forcey, C., 1998. Whatever Happened to the Heroes? Ancestral Cults and the Enigma of Romano-Celtic Temples. Theoretical Roman Archaeology Journal, (1997), pp.87–98. DOI: http://doi.org/10.16995/TRAC1997_87_98",University of Leicester,England,University,Britain,ritual cult memory,temple burial transition,
90,"Pearce, J",From Death to Deposition: The Sequence of Ritual in Cremation Burials of the Roman Period,Theoretical Roman Archaeology Conference Proceedings,1998,pp.99-111,7,proc,1,FALSE,"Pearce, J., 1998. From Death to Deposition: The Sequence of Ritual in Cremation Burials of the Roman Period . Theoretical Roman Archaeology Journal, (1997), pp.99–111. DOI: http://doi.org/10.16995/TRAC1997_99_111",Durham University,England,University,,death religion identity,burial,osteoarchaeology
91,"Petts, D",Burial and Gender in Late- and Sub-Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1998,pp.112-124,7,proc,1,FALSE,"Petts, D., 1998. Burial and Gender in Late- and Sub-Roman Britain. Theoretical Roman Archaeology Journal, (1997), pp.112–124. DOI: http://doi.org/10.16995/TRAC1997_112_124",University of Reading,England,University,Britain,death gender religion practice,burial post-Roman,
92,"Hundi, S Hill, J",Brooches and Identities in First Century AD Britain: More Than Meets The Eye?,Theoretical Roman Archaeology Conference Proceedings,1998,pp.125-137,7,proc,2,TRUE,"Jundi, S. and Hill, J.D., 1998. Brooches and Identities in First Century AD Britain: More Than Meets The Eye?. Theoretical Roman Archaeology Journal, (1997), pp.125–137. DOI: http://doi.org/10.16995/TRAC1997_125_137",University of Southampton,England,University,Britain,identity change,brooches transition prehistory,
93,"Scott, E",Tales from a Romanist: A Personal View of Archaeology and ‘Equal Opportunities’,Theoretical Roman Archaeology Conference Proceedings,1998,pp.138-147,7,proc,1,FALSE,"Scott, E., 1998. Tales from a Romanist: A Personal View of Archaeology and ‘Equal Opportunities’. Theoretical Roman Archaeology Journal, (1997), pp.138–147. DOI: http://doi.org/10.16995/TRAC1997_138_147","King Alfred's University College, Winchester",England,University,Britain,gender discrimination,academia,
94,"Dungworth, D","Mystifying Roman Nails: Clavus Annali, Defixiones and Minkisi",Theoretical Roman Archaeology Conference Proceedings,1998,pp.148-159,7,proc,1,FALSE,"Dungworth, D., 1998. Mystifying Roman Nails: Clavus Annali, Defixiones and Minkisi. Theoretical Roman Archaeology Journal, (1997), pp.148–159. DOI: http://doi.org/10.16995/TRAC1997_148_159",University of Sheffield,England,University,Britain,practice ritual,metalwork burial,
95,"Hawthorne, J",Pottery and Paradigm in the Early Western Empire,Theoretical Roman Archaeology Conference Proceedings,1998,pp.160-172,7,proc,1,FALSE,"Hawthorne, J.W.J., 1998. Pottery and Paradigm in the Early Western Empire. Theoretical Roman Archaeology Journal, (1997), pp.160–172. DOI: http://doi.org/10.16995/TRAC1997_160_172",University of Southampton,England,University,,economy society,pottery diet,
96,"Baker, P Forcey, C Jundi, S Witcher, R",Preface,Theoretical Roman Archaeology Conference Proceedings,1999,pp.i-iv,8,proc,4,TRUE,"Baker, P., Forcey, C., Jundi, S. and Witcher, R., 1999. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (1998), p.i–iv. DOI: http://doi.org/10.16995/TRAC1998_i_iv",University of Leicester,England,University,,,preface,
97,"Häussler, R","Architecture, Performance and Ritual: The Role of State Architecture in the Roman Empire",Theoretical Roman Archaeology Conference Proceedings,1999,pp.1-13,8,proc,1,FALSE,"Häussler, R., 1999. Architecture, Performance and Ritual: The Role of State Architecture in the Roman Empire . Theoretical Roman Archaeology Journal, (1998), pp.1–13. DOI: http://doi.org/10.16995/TRAC1998_1_13",University of Oxford,England,University,,ritual imperialism landscape,architecture,
98,"James, S",The Community of Soldiers: A Major Identity and Centre of Power in the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1999,pp.14-25,8,proc,1,FALSE,"James, S., 1999. The Community of Soldiers: A Major Identity and Centre of Power in the Roman Empire. Theoretical Roman Archaeology Journal, (1998), pp.14–25. DOI: http://doi.org/10.16995/TRAC1998_14_25",Durham University,England,University,,society identity,military,
99,"Aitchison, K",Monumental Architecture & Becoming Roman in the First Centuries BC and AD,Theoretical Roman Archaeology Conference Proceedings,1999,pp.26-35,8,proc,1,FALSE,"Aitchison, K., 1999. Monumental Architecture & Becoming Roman in the First Centuries BC and AD. Theoretical Roman Archaeology Journal, (1998), pp.26–35. DOI: http://doi.org/10.16995/TRAC1998_26_35",Landward Archaeology,Unknown,Archaeological consultancy,France,ritual society change habitus,architecture monument,
100,"Clarke, S","Contact, Architectural Symbolism and the Negotiation of Cultural Identity in the Military Zone",Theoretical Roman Archaeology Conference Proceedings,1999,pp.36-45,8,proc,1,FALSE,"Clarke, S., 1999. Contact, Architectural Symbolism and the Negotiation of Cultural Identity in the Military Zone. Theoretical Roman Archaeology Journal, (1998), pp.36–45. DOI: http://doi.org/10.16995/TRAC1998_36_45",Shetland College of Further Education,Scotland,University,Britain,habitus space change,military houses transition,
101,"Fincham, G",Poverty or Power? The Native Response to Roman Rule in the Fenland?,Theoretical Roman Archaeology Conference Proceedings,1999,pp.46-51,8,proc,1,FALSE,"Fincham, G., 1999. Poverty or Power? The Native Response to Roman Rule in the Fenland? . Theoretical Roman Archaeology Journal, (1998), pp.46–51. DOI: http://doi.org/10.16995/TRAC1998_46_51",University of Leicester,England,University,Britain,discrepant-experience post-colonial,,
102,"Revell, L",Constructing Romanitas: Roman Public Architecture and the Archaeology of Practice,Theoretical Roman Archaeology Conference Proceedings,1999,pp.52-58,8,proc,1,FALSE,"Revell, L., 1999. Constructing Romanitas: Roman Public Architecture and the Archaeology of Practice. Theoretical Roman Archaeology Journal, (1998), pp.52–58. DOI: http://doi.org/10.16995/TRAC1998_52_58",University of Southampton,England,University,Britain,practice romanitas structuration,architecture houses,
103,"Bayliss, R",Usurping the Urban Image: The Experience of Ritual Topography in Late Antique Cities of the Near East,Theoretical Roman Archaeology Conference Proceedings,1999,pp.59-71,8,proc,1,FALSE,"Bayliss, R., 1999. Usurping the Urban Image: The Experience of Ritual Topography in Late Antique Cities of the Near East . Theoretical Roman Archaeology Journal, (1998), pp.59–71. DOI: http://doi.org/10.16995/TRAC1998_59_71",Newcastle University,England,University,Turkey Jordan,urbanism religion movement,architecture,
